案例名称,使用技术,内容
01‑Hello Triangle,基础渲染、管线、顶点缓冲区,渲染最简单的三角形，Diligent Engine API 入门示例
02‑Cube,顶点 / 索引 / 常量缓冲区、文件加载 Shader、3D 变换,渲染立方体；演示从文件加载着色器，创建使用顶点、索引、uniform 缓冲区
03‑Texturing,纹理加载、着色器资源绑定 SRB、纹理采样,给 3D 物体贴纹理；加载纹理文件，创建着色器资源绑定对象，在 shader 采样纹理
04‑Instancing,实例化渲染 (Instancing),使用实例化，用不同变换矩阵渲染同一个物体的大量副本
05‑Texture Array,实例化 + 纹理数组,实例化配合纹理数组，每个实例使用独立纹理
06‑Multithreading,多线程、并行生成命令列表,多线程并行录制生成命令列表，演示多线程渲染用法
07‑Geometry Shader,几何着色器 Geometry Shader,利用几何着色器实现平滑线框渲染
08‑Tessellation,硬件曲面细分 Tessellation,硬件细分，实现简易自适应地形渲染
09‑Quads,2D 渲染、频繁切换纹理 / 混合模式,批量渲染大量 2D 四边形，频繁切换纹理与混合模式
10‑Data Streaming,动态 Buffer 映射，MAP_FLAG_DISCARD、MAP_FLAG_DO_NOT_SYNCHRONIZE,高效向 GPU 流式提交动态变化数据，缓冲区映射策略
11‑Resource Updates,缓冲区 & 纹理多种更新方式,演示 Diligent 中更新 buffer、texture 的各类方法，讲解内部原理与性能差异
12‑Render Target,离屏渲染目标、简单后处理,把立方体渲染到离屏 RT，执行简单后处理效果
13‑Shadow Map,阴影贴图 ShadowMap,基础阴影贴图实现，渲染物体阴影
14‑Compute Shader,计算着色器 Compute Shader,使用计算着色器实现粒子模拟系统
15‑Multiple Windows,多窗口渲染,引擎同时渲染输出到多个窗口
16‑Bindless Resources,无绑定资源 Bindless、着色器动态索引,现代 API 无绑定资源技术，动态着色器索引，提升渲染性能
17‑MSAA,多重采样抗锯齿 MSAA,多重采样抗锯齿，让几何边缘更加平滑稳定
18‑Queries,GPU 查询 (Query),获取 GPU 执行信息：图元数量、命令执行耗时等硬件统计
19‑Render Passes,Render Pass API、延迟渲染,使用 Render Pass 接口实现简易延迟着色
20‑Mesh Shader,Mesh Shader、Amplification Shader,网格着色器、放大着色器；GPU 视锥剔除、物体 LOD 计算
21‑Ray Tracing,光线追踪 API,Diligent 光线追踪基础用法
22‑Hybrid Rendering,混合渲染：光栅化 + 光线追踪,混合渲染器，结合传统光栅化与光线追踪
23‑Command Queues,多命令队列,多命令队列，渲染、拷贝、计算任务并行执行
24‑Variable Rate Shading(VRS),可变速率着色 VRS,可变着色率，降低像素着色负载
25‑Render State Packager,管线状态离线打包工具 Render State Packager,使用离线工具打包归档管线状态；示例简易路径追踪器
26‑Render State Cache,渲染状态缓存 Render State Cache,扩展路径追踪；运行时保存管线状态，程序启动时加载
27‑Post‑Processing,DiligentFX 后处理模块,使用 DiligentFX 内置后处理效果
28‑Hello‑OpenXR,OpenXR、VR 头显渲染,对接 OpenXR，VR 头显渲染简单场景
29‑OIT,与顺序无关的透明 OIT,不做物体排序，实现顺序无关透明渲染
30‑Hello‑visionOS,Apple visionOS、CompositorServices,Diligent 运行于 visionOS；双渲染器：2D 预览窗口 + 沉浸式空间
